,bedrooms,bathrooms,level,garage,age,elevation,neighborhood[Ahwatukee Foothills 0]:sqft,neighborhood[Alahambra]:sqft,neighborhood[Alegre Community]:sqft,neighborhood[Alta Mira]:sqft,neighborhood[Baseline-Hardy]:sqft,neighborhood[Bell De Mar Crossing]:sqft,neighborhood[Camelback East]:sqft,neighborhood[Central]:sqft,neighborhood[Central City]:sqft,neighborhood[Cyprus Southwest]:sqft,neighborhood[Dava-Lakeshore]:sqft,neighborhood[Deer Valley]:sqft,neighborhood[Desert View]:sqft,neighborhood[Encanto]:sqft,neighborhood[Escalante]:sqft,neighborhood[Estrella]:sqft,neighborhood[Evergreen]:sqft,neighborhood[Gililland]:sqft,neighborhood[Holdeman]:sqft,neighborhood[Hughes Acres]:sqft,neighborhood[Kiwanis Park]:sqft,neighborhood[Kyrene-Superstition]:sqft,neighborhood[Laveen]:sqft,neighborhood[Lindon Park]:sqft,neighborhood[Mach 8]:sqft,neighborhood[Maple-Ash]:sqft,neighborhood[Maryvale]:sqft,neighborhood[McClintock]:sqft,neighborhood[Meyer Park]:sqft,neighborhood[Mitchell Park West]:sqft,neighborhood[New Village]:sqft,neighborhood[North Gateway]:sqft,neighborhood[North Mountain]:sqft,neighborhood[North Scottsdale]:sqft,neighborhood[Northeast 0]:sqft,neighborhood[Northeast 3]:sqft,neighborhood[Northeast 4]:sqft,neighborhood[Northwest]:sqft,neighborhood[Ntna-College]:sqft,neighborhood[Ntna-Indian Bend]:sqft,neighborhood[Ntna-West Rio]:sqft,neighborhood[Optimist Park Ne]:sqft,neighborhood[Optimist Park Sw]:sqft,neighborhood[Paradise Valley]:sqft,neighborhood[Pepperwood]:sqft,neighborhood[Pinnacle Peak]:sqft,neighborhood[Riverside]:sqft,neighborhood[Rural-Geneva]:sqft,neighborhood[Shalimar]:sqft,neighborhood[South Mountain]:sqft,neighborhood[South Scottsdale]:sqft,neighborhood[Southeast 0]:sqft,neighborhood[Southwest]:sqft,neighborhood[Sunburst Farms]:sqft,neighborhood[Sunset]:sqft,neighborhood[Tempe Gardens]:sqft,neighborhood[Tempe Royal Estates]:sqft,neighborhood[West Central]:sqft
bedrooms,415.074951003,-133.494934658,7.52472279921,20.4982526655,-3.76688609488,-0.550405014457,-0.392775620038,-0.422345754455,-0.543211411029,-0.425468978095,-0.301134014446,-0.352097860885,-0.347191393014,-0.453924084795,-0.25536016752,-0.543739613336,-0.478128307993,-0.404441323086,-0.331319990552,-0.364311015226,-0.372286794415,-0.465509238191,-0.379952440046,-0.436741991688,-0.614861636639,-0.458108589289,-0.404523943773,-0.525082681502,-0.455843599637,-0.400947843984,-0.424007579353,-0.213226776234,-0.531345022262,-0.43472927186,-0.500827792381,-0.316075557551,-0.302217396296,-0.361944252381,-0.390817316368,-0.286927054306,-0.400807982311,-0.30011858794,-0.62983344712,-0.384077791809,-0.455007513495,-0.437655980332,-0.41509882787,-0.498596086844,-0.465854679652,-0.383772077503,-0.343481496726,-0.181239153618,-0.0216252438651,-0.537649252475,-0.425118163321,-0.45923037675,-0.326483831939,-0.377325404055,-0.383015349303,-0.407180755777,-0.268781321247,-0.384281566737,-0.591844206115,-0.408126089626
bathrooms,-133.494934658,853.53721867,4.40206612172,2.27833769139,3.22635042622,-2.08720664872,-0.390100348979,-0.371875709935,-0.731654647967,-0.202946457018,-0.632724301299,-0.360352346072,-0.390353342544,-0.301921461071,-0.372897933247,-0.365250672627,-0.460915138072,-0.293685655499,-0.206487841502,-0.361418920506,0.0364454867023,-0.478416467941,-0.404962555951,-0.361816139181,-0.451806153597,-0.444767873063,-0.426010276115,-0.537664211229,-0.382725286516,-0.497724665323,-0.650602510825,-0.699289108706,-0.395560381096,0.103118868867,-0.667876282164,-0.0127256707526,-0.18009368759,-0.243006625731,-0.308700461954,-0.287261188024,-0.315301868816,-0.360646628888,-0.30683448699,-0.344475897263,-0.454069602679,-0.364737009475,0.052276021567,-0.196277331302,0.110428448737,-0.282019310824,-0.537490508195,-0.0690072581859,-0.545674173952,0.0682197830654,0.101732422542,-0.359416018027,-0.357301181541,-0.311231380018,-0.395514315977,-0.604081397202,-0.544026913699,-0.395656147989,-0.287811518127,-0.32230172933
level,7.52472279921,4.40206612172,17.1930158912,5.33547702254,0.169052657888,-0.157741847066,-0.000280227161952,0.000329760098846,0.0147600027136,-0.00378053882022,0.00718988348203,0.00131162510528,0.00335826579209,0.00481085881265,0.00762949066248,-0.00108780198658,0.000244121536571,0.00561932521195,0.0136904615455,0.00244209472305,0.0147776670285,-0.00480947668673,0.00136834251127,8.42971817429e-06,-0.00179363500371,0.000191771553435,0.00116609307661,-0.00292955655828,-0.00428800462648,-0.00140152864264,0.00450066610869,-0.00211475848185,-0.00354357045318,0.00394142382443,-0.00278465282063,0.0104550194598,0.0163204963549,0.0140149875861,0.00470330436619,-0.000119812696591,0.00955771292494,0.0145869745053,0.0274255754853,0.000126284938963,0.00291185104545,0.00361942690246,0.0150961822783,0.00160568964408,0.0042182297022,0.0046033626188,0.00510382895629,0.0271117191378,0.0143088124382,0.0204346831459,0.00391983552255,0.000249799977058,-0.00128780727119,0.00813380374613,0.00394803999776,-0.00408172095042,-0.0342367207992,0.00118346499094,-0.00202303238983,-0.00173426617715
garage,20.4982526655,2.27833769139,5.33547702254,2002.29640019,11.3559987864,-1.07247606302,-0.0862696124768,-0.190321739841,-0.248227281525,-0.792210599575,-0.0422601481238,-0.0439475566684,-0.119836270415,-0.0297145546224,-0.0548616474196,-0.057173921667,-0.803368775714,-0.0994327957883,-0.0155877860916,-0.134640906751,-0.145373306318,-0.164866751506,-0.0780388536805,-0.0176469779019,-0.0727665594326,-0.0965301415292,-0.0695840920755,-1.65378908138,-0.199114313894,-0.183989915603,-0.0680533467449,-0.309309962346,-0.252919030283,-0.0427591484286,-0.057915787522,-0.22429830736,0.108918338364,-0.0791030375134,-0.0991714421268,-0.0304434899373,-0.078007056787,-0.354596638558,0.269879668659,-0.172026475576,-0.0491482739522,0.0822320113575,-0.0323498340086,-0.0685304434415,-0.0458543084634,-0.0819540147752,-0.0510768729154,0.0545510112826,-0.0512923260009,-0.086207391385,-0.0414036230082,-0.183731556686,-0.0747428483514,-0.0725822419848,-0.1112711051,-0.0451742780451,-0.0372477262822,-0.0495227988889,-0.0513787712935,-0.108568293439
age,-3.76688609488,3.22635042622,0.169052657888,11.3559987864,1.23104337977,-0.104088255742,0.00376915037174,-0.00646531369773,-0.019980444019,-0.00137078364177,-0.00149811567478,-0.000452464210771,-0.00358482364178,0.00239780692695,-0.00303484718039,0.000771158250877,-0.00146444538808,0.00506617074792,0.0130319972956,-0.00773370263545,-0.0103994409063,0.000601636010828,-0.0036912788677,0.00343158366909,-1.93947775974e-05,-0.00460695594685,-0.00251418561521,-0.0117505849041,0.00327801509559,-0.014501267086,-0.0025110455594,-0.0303115694734,-0.00267140781218,0.00142463336126,-0.000304071970687,-0.0193312727564,0.0147365635716,0.013760381622,-0.000181045237558,0.00742686384246,0.00864734559416,-0.0014927917547,0.0353973020878,-0.000586882407349,0.000202571228567,0.0137378678986,0.00192617435754,-0.000808835929309,0.00152312637983,0.00571131262806,-0.00165895300052,0.0203551636629,-0.0061821030816,-0.00212422253475,0.00143579130096,0.00151885673789,-0.00101488649872,0.00657422872516,-0.0012082594971,-0.00010303806294,-0.000597492164287,-0.000654303144801,0.0021536150473,-0.000636309495165
elevation,-0.550405014457,-2.08720664872,-0.157741847066,-1.07247606302,-0.104088255742,0.0258689875826,-9.05316500195e-05,0.000559997323546,-0.000331084961101,0.000581161504231,-0.000262154169984,0.000155995348493,2.4944975718e-05,-0.000647108060623,-0.000760496963259,0.000367341089005,0.000307180448972,-0.000838460260864,-0.0021494494924,0.000266656136967,-0.0018377895205,0.00090092681358,0.000401889371337,4.76869101029e-05,0.00056213767674,0.000629580397868,0.000360244822906,0.00129614289264,0.000573271378898,0.00150482052897,0.000132033456053,0.00293021504442,0.00079059813321,-0.00101870135756,0.00112321278869,-0.000639378002439,-0.00255067807866,-0.00227812042281,-0.0003419038076,-0.00125557102785,-0.00136701622058,-0.00147110558832,-0.00516622430906,-0.00042765299161,6.44524403573e-06,-0.00105212798215,-0.00271139247765,-0.000146447946551,-0.0010907381411,-0.001050721361,-7.31938688621e-05,-0.00423176156685,-0.00112879773054,-0.00333831993436,-0.00100711939775,6.75817365012e-05,-0.000404883752885,-0.00110126472697,-0.000174338300946,0.0012660384966,-0.000947183959106,0.000210032811794,0.000335666951271,-0.000842180632737
neighborhood[Ahwatukee Foothills 0]:sqft,-0.392775620038,-0.390100348979,-0.000280227161952,-0.0862696124768,0.00376915037174,-9.05316500195e-05,0.00194322534772,0.00115327248138,0.00216632612207,0.000905243349194,0.00132491913982,0.000999191570437,0.00110363635478,0.00122148846269,0.00107094518269,0.00127397497466,0.00134970731362,0.00112578981139,0.00103022855531,0.00111745135583,0.00113211659193,0.00117190136336,0.00110156484192,0.00110650304869,0.00147060078203,0.0012518211238,0.00115775736412,0.00151881006508,0.00106954603063,0.00119879928861,0.00149562086505,0.0010767402143,0.00126613518969,0.000811054968661,0.00141566010722,0.000996861847683,0.000997219829786,0.00114217682177,0.00110274324446,0.00096465151597,0.0011916799414,0.00126132621643,0.00189673509234,0.00116253127914,0.0013038152016,0.00116488181853,0.00116439731779,0.00112867649632,0.000869087246269,0.00110959118348,0.0012532054861,0.00090806520267,0.00098975255605,0.00154684071348,0.000793574049581,0.0011753629863,0.00107751473527,0.0011262257952,0.0011732185618,0.00114890981908,0.00131865169118,0.00108795804844,0.00125175768676,0.0012617771601
neighborhood[Alahambra]:sqft,-0.422345754455,-0.371875709935,0.000329760098846,-0.190321739841,-0.00646531369773,0.000559997323546,0.00115327248138,0.00249634056462,0.00255229877398,0.00100836708713,0.00144214620473,0.00109326720327,0.00123691302298,0.00132657790658,0.00119891369061,0.00139140521489,0.00148381029471,0.00119483868015,0.00102655352651,0.00129336674005,0.00138340328552,0.00126327588385,0.00123327108803,0.00117883702699,0.00161086095528,0.00140653571587,0.00128371027703,0.00175524174542,0.00113401891133,0.00142974206431,0.00164138500206,0.00141182987388,0.00140902583712,0.000917055719441,0.00152639581701,0.00130443758134,0.000977984648838,0.0011423074256,0.00121447526496,0.000992277328403,0.00123532049596,0.00140176070697,0.00179680520521,0.00128127996194,0.00142155278036,0.0011523311183,0.00131025238743,0.00126155937782,0.000982694455042,0.00117226496946,0.00137256529176,0.000841478386411,0.00111821814186,0.00178295345063,0.00089702332917,0.00127378099412,0.00118799169049,0.00118030492829,0.00129355271564,0.00122978938024,0.00143449409741,0.00119141426647,0.00136214833745,0.00139727042145
neighborhood[Alegre Community]:sqft,-0.543211411029,-0.731654647967,0.0147600027136,-0.248227281525,-0.019980444019,-0.000331084961101,0.00216632612207,0.00255229877398,0.279110287068,0.00177243209324,0.00291883452787,0.00209395582511,0.00244348871368,0.00256575236616,0.00248951291156,0.00257389720839,0.00277656843184,0.00229664847297,0.00201603986534,0.00257748957192,0.00297747392209,0.00229646517235,0.0023867242604,0.00219039446949,0.0029869981022,0.0026951059662,0.00246971564669,0.00327908699277,0.00202233193606,0.00280854417973,0.00323998132592,0.00293283617586,0.00260395943399,0.00174721875688,0.00283502768925,0.00283411021018,0.0019578884852,0.00224072793184,0.00236308168675,0.00195720052934,0.00239263795756,0.00291072327172,0.00350412241726,0.00251645170588,0.0027334168611,0.00212188775487,0.00274149209632,0.00238762418533,0.00187223054211,0.00227495018555,0.00272795732164,0.00182218524861,0.00253448891897,0.00376697840844,0.00170961521428,0.0023835297923,0.00236617842254,0.00229108650026,0.00253268936845,0.00224872143139,0.00298194991852,0.00227975985495,0.0024684591563,0.00279176823407
neighborhood[Alta Mira]:sqft,-0.425468978095,-0.202946457018,-0.00378053882022,-0.792210599575,-0.00137078364177,0.000581161504231,0.000905243349194,0.00100836708713,0.00177243209324,0.0312503283343,0.00101767867406,0.000819055794602,0.000918496460703,0.00100126856668,0.000839460122355,0.00107978582809,0.00137391252808,0.000940015558122,0.000811816010203,0.000944590444892,0.000973649030276,0.00101740143094,0.000913851149048,0.000909490607092,0.00124448164926,0.00105163573942,0.000956407222202,0.00181906805333,0.000955395677284,0.00103534801478,0.00118886606925,0.000941021890365,0.00114264718656,0.000728625204005,0.00115555281048,0.000897410806297,0.000733126597155,0.000920474618982,0.000924598766263,0.00075961919361,0.000971856035945,0.00109160428079,0.00138463291617,0.000988254825197,0.00106377054275,0.000902888489199,0.000957863049419,0.000973734859411,0.0007807814398,0.000914637494981,0.000989493546344,0.00064431780876,0.000697401415788,0.00128798255919,0.00071265406219,0.00102607594592,0.000874588808817,0.000918944527759,0.000973343257091,0.000935813548497,0.000997887076068,0.000892836669417,0.00108026192501,0.00104254549565
