Neighborhood,Multiplier
neighborhood_East Bay (Castro Valley),0.66455699999999995
neighborhood_East Bay (Downtown Oakland),0.67932499999999996
neighborhood_San Francisco (Visitacion Valley),0.68695799999999996
neighborhood_Peninsula (Pacifica),0.85662899999999997
neighborhood_San Francisco (Westwood Park),0.85761500000000002
neighborhood_San Francisco (Ingleside),0.875
neighborhood_East Bay (West Oakland),0.87824199999999997
neighborhood_East Bay (Walnut Creek),0.926041
neighborhood_San Francisco (Bernal Heights),0.936392
neighborhood_East Bay (Oakland),0.96619200000000005
neighborhood_San Francisco (Glen Park),0.96662800000000004
neighborhood_San Francisco (Portola),0.97069700000000003
neighborhood_San Francisco (Diamond Heights),0.995421
neighborhood_Other (Woodside),1.0
neighborhood_San Francisco (Clarendon Heights),1.0
neighborhood_San Francisco (Mission Bay/SoMa),1.0
neighborhood_San Francisco (Mission Terrace),1.0
neighborhood_East Bay (Emeryville),1.0017210000000001
neighborhood_San Francisco (Candlestick Point),1.0356590000000001
neighborhood_San Francisco (Downtown San Francisco),1.08186
neighborhood_San Francisco (Central Richmond),1.086516
neighborhood_San Francisco (Excelsior),1.142053
neighborhood_San Francisco (Bayview),1.142655
neighborhood_San Francisco (Dogpatch),1.154623
neighborhood_San Francisco (Alamo Square),1.165889
neighborhood_San Francisco (Lone Mountain),1.215865
neighborhood_San Francisco (North Beach),1.2675810000000001
neighborhood_San Francisco (Van Ness-Civic Center),1.2682020000000001
neighborhood_San Francisco (Noe Valley),1.278249
neighborhood_San Francisco (Buena Vista),1.310907
neighborhood_San Francisco (Outer Richmond),1.3291139999999999
neighborhood_San Francisco (Golden Gate Heights),1.3586499999999999
neighborhood_San Francisco (Pacific Heights),1.3867989999999999
neighborhood_San Francisco (Western Addition),1.392487
neighborhood_San Francisco (Mission Bay),1.421217
neighborhood_San Francisco (North Panhandle),1.433832
neighborhood_San Francisco (SOMA),1.456105
neighborhood_San Francisco (Eureka Valley),1.4683539999999999
neighborhood_San Francisco (Potrero Hill),1.471487
neighborhood_San Francisco (Central Waterfront),1.4811650000000001
neighborhood_San Francisco (Eureka Valley-Dolores Heights),1.5115940000000001
neighborhood_San Francisco (Marina),1.513784
neighborhood_San Francisco (Cole Valley-Parnassus Heights),1.5267770000000001
neighborhood_San Francisco (Lower Pacific Heights),1.54592
neighborhood_San Francisco (Financial District),1.548087
neighborhood_San Francisco (South Beach),1.552465
neighborhood_San Francisco (Downtown),1.5752459999999999
neighborhood_San Francisco (Rincon Hill),1.5755749999999999
neighborhood_San Francisco (Duboce Triangle),1.594937
neighborhood_San Francisco (Russian Hill),1.6040479999999999
neighborhood_San Francisco (Inner Mission),1.6667419999999999
neighborhood_San Francisco (Nob Hill),1.6791180000000001
neighborhood_San Francisco (Yerba Buena),1.7287859999999999
neighborhood_San Francisco (South Financial District),1.7721519999999999
neighborhood_San Francisco (North Waterfront),1.857602
neighborhood_San Francisco (Mission Dolores),1.9101140000000001
neighborhood_San Francisco (Telegraph Hill),1.966065
neighborhood_San Francisco (Hayes Valley),2.3804729999999998
neighborhood_East Bay (Berkeley),1
