neighborhood,regular
PACIFICA,0.32633640376901779
EMERYVILLE,1.0071191113341902
OAKLAND,0.68944252277503815
BERKELEY,0.38888639180733281
WALNUT CREEK,0.77150667735465561
CASTRO VALLEY,0.08933319538616831
FREMONT,0.51639221101224164
SOUTH SAN FRANCISCO,-0.014592171465815224
LIVERMORE,-0.070322788547642234
PLEASANTON,0.29125553862487269
DUBLIN,0.29132381089160952
ALAMEDA,0.67400643633371815
BAY AND OCEAN,0.67990095981729359
HAYWARD,0.21039597665102053
UNION CITY,0.37765673732555027
SAN LEANDRO,0.18143059619777671
NEWARK,0.33327031509809402
ALBANY,0.99828325458510536
SAN LORENZO,0.48017250604209394
MILPITAS,0.46848247501360629
SUNOL,0.0016579907324546213
