neighborhood,rent per foot
North Scottsdale,0.93521935334668682
Alameda-Campus,0.0
Ntna-Indian Bend,0.0
West Central,0.43811094465050837
Tempe Gardens,0.0
McClintock,0.61444594324804847
Southeast 0,0.50782941644526414
Kyrene-Superstition,0.0
Optimist Park Ne,0.60153631277148667
Jen Tilly Terrace,0.3586862423112096
Cyprus Southwest,0.6943579160916008
Camelback East,0.88710609831573639
Brentwood-Cavalier,0.0
Baseline-Hardy,0.69287382444383461
Ntna-College,0.6250963864474931
Pepperwood,0.76027208545261993
South Scottsdale,0.81852004477020679
South Mountain,0.43621793561843974
Holdeman,1.1168645652950662
Estrella,0.37833365446462641
Laveen,0.41352898417932876
Rural-Geneva,0.0
Optimist Park Sw,0.56937262797976873
Escalante,0.41676085881246383
North Mountain,0.54397220591422257
Meyer Park,0.0
Dava-Lakeshore,0.68946774480009498
Maple-Ash,0.92011836573496508
Pinnacle Peak,0.88891173915070643
Evergreen,0.0
Gililland,0.0
Alahambra,0.47783941727113521
Southwest,0.50615884715728976
Maryvale,0.41977823420323979
Hughes Acres,0.68063412808701818
Alegre Community,0.0
North Gateway,0.45560165790809154
Riverside,0.77136959042093001
Mach 8,0.73345761741214455
Lindon Park,0.55803100725539945
Alta Mira,0.58015333506795541
Central,0.49039459182176898
Sunset,0.6156785637898442
New Village,0.34207741567599526
Shalimar,0.0
Daley Park,0.70317840978607804
Desert View,0.75103466101239069
Ahwatukee Foothills 0,0.70327901502241341
Northwest,0.27076071795526219
Central City,0.61701977654483287
Mitchell Park West,0.768755911820033
Paradise Valley,0.58394582799096173
Sunburst Farms,0.75803296788999985
Northeast 0,0.47054851859142721
Northeast 3,0.23146040061574918
Bell De Mar Crossing,0.49930716013434784
Deer Valley,0.47315445404343637
Kiwanis Park,0.81184379150314845
Encanto,0.82385545992980391
Tempe Royal Estates,0.0
