Neighborhood,Multiplier
Kiwanis Park,0.664829
Laveen,0.71049799999999996
Gililland,0.78016700000000005
Shalimar,0.80297099999999999
Maryvale,0.80946700000000005
South Mountain,0.83896400000000004
North Gateway,0.85325700000000004
Central,0.86532399999999998
Estrella,0.87719499999999995
Optimist Park Sw,0.87942200000000004
West Central,0.88073699999999999
Baseline-Hardy,0.90910299999999999
North Mountain,0.91926799999999997
Deer Valley,0.92674100000000004
Southwest,0.946384
Northwest,0.950017
Northeast 0,0.95041500000000001
Optimist Park Ne,0.96316500000000005
Ntna-College,0.965669
Cyprus Southwest,0.98884899999999998
Hughes Acres,1.0043800000000001
Alahambra,1.0077510000000001
Southeast 0,1.020651
Paradise Valley,1.0220149999999999
Encanto,1.0552360000000001
Rural-Geneva,1.0724450000000001
Meyer Park,1.0818840000000001
Mach 8,1.0839399999999999
Pepperwood,1.1506689999999999
Holdeman,1.2036180000000001
Camelback East,1.343866
Riverside,1.3578870000000001
North Scottsdale,1.3939440000000001
Desert View,1.448715
Central City,1.4679219999999999
Sunset,1.477528
South Scottsdale,1.6329469999999999
Ahwatukee Foothills 0,1
