neighborhood,regular
Alahambra,0.79469675414411112
South Mountain,0.71359858553579814
Deer Valley,0.76465297808111543
Paradise Valley,0.94869054115902895
North Mountain,0.78035541123152252
Ahwatukee Foothills 0,0.85385413147079714
Desert View,0.94699064107179565
Encanto,0.95813355699984903
Maryvale,0.69366108819672911
Laveen,0.6255340664848188
Estrella,0.69122943899293565
North Gateway,0.74900518826803397
Camelback East,1.1593392010150574
New Village,0.56325503929674969
Central City,1.0827424695618719
North Scottsdale,1.1086708847410118
Southwest,0.75789172828062457
Northeast 0,0.79682558467007025
South Scottsdale,1.1730394098943409
Northwest,0.688197080837324
Shalimar,0.74949433111646435
West Central,0.80328722879108272
Central,0.75397435614654917
Hughes Acres,0.93610625182091078
Southeast 0,0.83260388090681137
Cyprus Southwest,0.94969846080653475
Sunset,1.1849404149314957
Riverside,0.97799603391626566
Rural-Geneva,0.84263970129182364
Gililland,0.73483200289079453
Ntna-College,0.83203577150552521
Optimist Park Ne,0.8908584451595386
Baseline-Hardy,0.75589786319636543
Kiwanis Park,0.74759583104408778
Meyer Park,1.0257708276748172
Mach 8,0.9622033267065655
Pepperwood,0.88804396763169802
Optimist Park Sw,0.79472851349408669
Holdeman,1.0105350108884226
Pinnacle Peak,1.2925101099602849
Sunburst Farms,1.0242385937688554
Tempe Royal Estates,0.80517824774057956
Northeast 3,0.70996156617633566
Mitchell Park West,0.84558096255576531
McClintock,0.82164927749773597
Evergreen,0.90336986889142223
Bell De Mar Crossing,0.83085171233428579
Tempe Gardens,0.85791644270640099
Maple-Ash,1.1498989091959659
Ntna-West Rio,0.83869104738002065
Alegre Community,0.95958098941545544
Dava-Lakeshore,0.93053306536875668
Escalante,0.83402234647750328
Ntna-Indian Bend,0.93508951473197355
Lindon Park,0.82932934012164639
Kyrene-Superstition,0.95232165675048819
Northeast 4,0.79013927871337908
Alta Mira,0.73392570828618398
