neighborhood,regular,luxurious
Yerba Buena,1.5978693449258223,3.0301981396588404
Hayes Valley,2.4201016572919651,2.4454188040380163
South Beach,1.7108487740138241,2.1190468911273115
Nob Hill,2.7126410520711004,0.0
Pacific Heights,2.0819640315770775,0.0
Noe Valley,1.5429964088347687,0.0
Potrero Hill,1.7910534931615372,0.0
Visitacion Valley,-0.18693182468876676,0.0
Buena Vista Park/Ashbury Heights,1.0906748149185437,0.0
South of Market,1.8951804830109047,2.3324013246592812
Eureka Valley / Dolores Heights,6.8015687741873023,0.0
Mission Bay,1.9194704568455541,0.0
Lower Pacific Heights,2.0007489096991247,0.0
Western Addition,2.3126001888890029,0.0
Central Waterfront/Dogpatch,1.7178233067246931,0.0
Lone Mountain,0.0,0.0
Inner Mission,1.2213290026599108,2.626417072876897
Duboce Triangle,2.4185558694357163,3.8861631066655713
Bernal Heights,1.7212507839227138,0.0
Marina,3.8235696168955768,0.0
Central Richmond,1.6365993070704818,0.0
Telegraph Hill,0.0,0.0
Diamond Heights,0.0,0.0
Van Ness/Civic Center,2.1235780214890356,0.0
Alamo Square,0.0,0.0
North Waterfront,0.0,0.0
Downtown,1.9751363519374763,1.9532230289727559
Silver Terrace,0.0,0.0
Russian Hill,1.7221847353666766,0.0
North Panhandle,2.2367676226266711,0.0
Glen Park,1.5567476036184384,0.0
Bayview,1.6901056835260124,0.0
Mission Dolores,2.6714014322462623,0.0
Excelsior,0.46490420880548256,0.0
Golden Gate Heights,0.95729444362587557,0.0
North Beach,2.2931080576776548,0.0
Portola,0.75525267825270848,0.0
Westwood Park,0.84407540830947769,0.0
Cole Valley/Parnassus Heights,1.1396604080927366,0.0
Outer Richmond,2.2807004561385047,0.0
Ingleside,0.29645048452149869,0.0
Sherwood Forest,0.0,0.0
Lake Shore,0.98163213045119491,0.0
Tenderloin,0.0,0.0
Central Sunset,0.85704767766136403,0.0
Haight Ashbury,0.0,0.0
Stonestown,0.0,0.0
Westwood Highlands,0.0,0.0
Inner Richmond,2.4617995800379227,0.0
Outer Parkside,1.6253199164854106,0.0
Mission Terrace,0.0,0.0
Anza Vista,0.0,0.0
Jordan Park / Laurel Heights,0.0,0.0
Pine Lake Park,0.0,0.0
Financial District/Barbary Coast,2.5687783379837428,0.0
Twin Peaks,0.58418420113259295,0.0
Corona Heights,0.0,0.0
Cow Hollow,2.6565523388623982,0.0
Miraloma Park,0.0,0.0
Oceanview,0.35044363500610537,0.0
Presidio Heights,0.0,0.0
Merced Manor,1.3765452281857575,0.0
Inner Parkside,0.0,0.0
Parkside,0.50831915634691127,0.0
Midtown Terrace,0.583770261241362,0.0
Forest Hill,0.0,0.0
Outer Sunset,0.0,0.0
Inner Sunset,1.2662129083884934,0.0
Crocker Amazon,0.0,0.0
Merced Heights,0.0,0.0
Lake Street,0.0,0.0
Ingleside Heights,0.0,0.0
Presidio,0.0,0.0
Lakeside,0.0,0.0
Outer Mission,0.67157547646303317,0.0
Mount Davidson Manor,0.73534500530151659,0.0
Hunters Point 0,1.4930080757058752,0.0
Candlestick Point,0.94134491163734502,0.0
