neighborhood,regular,luxury
Alamo Square,2.0939841474670002,0.0
Anza Vista,1.9759847154908559,0.0
Bayview,-0.15158780700468732,0.0
Bayview,-0.15158780700468732,0.0
Bayview Heights,-0.15158780700468732,0.0
Bernal Heights,1.4786255141641391,0.0
Buena Vista Park/Ashbury Heights,1.4323794985218732,0.0
Candlestick Point,-0.35198492222836208,0.0
Central Richmond,1.4144482098830051,0.0
Central Sunset,0.87615580243029001,0.0
Central Waterfront/Dogpatch,1.6680642610316152,0.0
Cole Valley/Parnassus Heights,1.4175006165773347,0.0
Corona Heights,1.942709563278354,0.0
Cow Hollow,1.6272994915896288,0.0
Diamond Heights,0.84528442976480689,0.0
Downtown,1.6289465547465056,-0.15336322435220118
Duboce Triangle,1.7211947792239255,2.638191279825024
Eureka Valley / Dolores Heights,2.2199616217946732,0.0
Excelsior,0.69318185076307737,0.0
Financial District/Barbary Coast,2.6529319121419821,1.4005427811575877
Forest Hill,0.93600837839551976,0.0
Forest Hill,0.93600837839551976,0.0
Forest Hills Extension,0.93600837839551976,0.0
Glen Park,1.5272408191098927,0.0
Golden Gate Heights,1.2628396248428682,0.0
Haight Ashbury,1.5218992466032699,0.0
Hayes Valley,1.9935108516586746,2.3539879364452627
Ingleside,1.2876652309655183,0.0
Ingleside,1.2876652309655183,0.0
Ingleside,1.2876652309655183,0.0
Ingleside Heights,0.549827415111108,0.0
Ingleside Terrace,1.2876652309655183,0.0
Inner Mission,1.9472849520435584,2.1050982418256639
Inner Parkside,1.065334799320488,0.0
Inner Richmond,0.99657662917616829,0.0
Inner Sunset,1.5591929477284727,0.0
Jordan Park / Laurel Heights,1.7983673201801453,0.0
Lake Shore,1.0663533074384666,0.0
Lake Street,1.2708320875861769,0.0
Lone Mountain,1.6883304538631339,0.0
Lower Pacific Heights,2.4277075973836517,0.0
Marina,2.1322652985985444,0.0
Merced Heights,0.48887464947708126,0.0
Merced Manor,1.2722958200160697,0.0
Midtown Terrace,0.31617699677305061,0.0
Miraloma Park,0.79638351696749732,0.0
Mission Bay,2.9468737419224755,0.0
Mission Dolores,2.2178904467367033,0.0
Mission Terrace,0.76047462384805531,0.0
Nob Hill,2.4952940688021048,0.0
Noe Valley,2.0543675767965208,0.0
North Beach,2.0250626183550087,0.0
North Panhandle,1.644564720861871,0.0
North Waterfront,0.0,0.0
Oceanview,0.46690012746354403,0.0
Outer Mission,-0.24904611905132579,0.0
Outer Parkside,0.93214673035530549,0.0
Outer Richmond,0.79695829003374086,0.0
Outer Sunset,0.86531338655905055,0.0
Pacific Heights,2.3927275732907041,0.0
Pacific Heights,2.3927275732907041,0.0
Parkside,0.46527368538326891,0.0
Parkside,0.46527368538326891,0.0
Parkside,0.46527368538326891,0.0
Pine Lake Park,0.73704374015008101,0.0
Portola,0.6372304645397715,0.0
Potrero Hill,1.4668701423204449,0.0
Presidio Heights,1.7710658828113983,0.0
Russian Hill,2.4929813659259739,0.0
Sherwood Forest,0.66908132696692724,0.0
Silver Terrace,0.89490153608263334,0.0
South Beach,2.2708211975853914,2.711915389365207
South of Market,2.1304139921957717,2.1769569835190827
Stonestown,1.1660840333609563,0.0
Sunnyside,1.1678718108499639,0.0
Telegraph Hill,3.8660069957850451,0.0
Tenderloin,1.4068526616620911,0.0
Twin Peaks,1.3004971711591424,0.0
Van Ness/Civic Center,1.7097594710708506,1.9262554752348016
Visitacion Valley,-0.25836391553073612,0.0
West Portal,1.5758151313329178,0.0
Western Addition,1.7353563032983179,0.0
Westwood Highlands,0.84666659514124865,0.0
Westwood Park,0.95529352331006867,0.0
Yerba Buena,2.3915863087057163,2.6051612200521612
