neighborhood,regular,luxurious
Alamo Square,2.2246034838814572,0.0
Anza Vista,1.2098172285850686,0.0
Bayview,1.0508877646212693,0.0
Bernal Heights,1.2992948542384921,0.0
Buena Vista Park/Ashbury Heights,1.2678929184621808,0.0
Central Richmond,1.3129581873294009,0.0
Central Sunset,0.73651159654275156,0.0
Corona Heights,1.8200162464974605,0.0
Cow Hollow,1.8700225566692763,0.0
Crocker Amazon,0.18092141319875132,0.0
Diamond Heights,0.78924520465226666,0.0
Downtown,1.6111331615714395,0.057738505280628849
Duboce Triangle,1.7445038171244334,3.3809040719344274
Eureka Valley / Dolores Heights,2.1439548922932259,0.0
Excelsior,0.16066496189650314,0.0
Financial District/Barbary Coast,2.897095361343351,1.4611199176884768
Yerba Buena,2.6877894460043423,3.1372514473596294
Forest Hill,0.94633698382419185,0.0
Forest Hills Extension,0.58109069196850616,0.0
Glen Park,1.1626391686017814,0.0
Golden Gate Heights,0.85552857622220491,0.0
Golden Gate Park,1.6069500056963051,0.0
Haight Ashbury,1.2923612049731306,0.0
Hayes Valley,2.2601626919687829,2.5515943077488257
Ingleside,0.49842433421074872,0.0
Ingleside Heights,0.40337349361818609,0.0
Ingleside Terrace,1.4127303217013887,0.0
Inner Mission,2.2415377321523784,2.2775757756849861
Inner Parkside,0.74791213378923238,0.0
Inner Richmond,1.1426769176189626,0.0
Inner Sunset,1.4625926453156932,0.0
Jordan Park / Laurel Heights,1.8389744166029671,0.0
Lake Street,1.2892211639753741,0.0
Lake Shore,0.95509910479757898,0.0
Lone Mountain,1.5909577820832539,0.0
Lower Pacific Heights,2.3888697831340928,0.0
Marina,2.2274343046642029,0.0
Merced Heights,0.41295314228724078,0.0
Merced Manor,1.1340442313843093,0.0
Midtown Terrace,0.088519379591829317,0.0
Miraloma Park,0.44944093139100671,0.0
Mission Bay,2.8356941999877003,0.0
Mission Dolores,2.5923635420085889,0.0
Mission Terrace,0.95290322337404354,0.0
Noe Valley,1.8949656614516832,0.0
North Beach,2.2158514433649614,0.0
North Panhandle,1.5957426968791752,0.0
North Waterfront,3.5271565289959446,0.0
Oceanview,0.37496397315515262,0.0
Outer Mission,-0.27716014595921123,0.0
Outer Parkside,1.2143830407611969,0.0
Outer Richmond,1.002988107146912,0.0
Outer Sunset,0.90463236467394492,0.0
Pacific Heights,1.831203326855128,0.0
Parkside,0.3562818416601814,0.0
Cole Valley/Parnassus Heights,1.4000990957170414,0.0
Pine Lake Park,0.9155316485068572,0.0
Portola,0.63539154481538862,0.0
Potrero Hill,1.6899110484421491,0.0
Presidio Heights,1.8544459597140328,0.0
Russian Hill,2.6011147015864271,1.6269203514659587
Silver Terrace,0.94435593990830125,0.0
South Beach,2.3557387247177748,2.7387275351603879
South of Market,2.3733873412841491,2.5051559908026837
Stonestown,1.0718050978785785,0.0
Sunnyside,1.1090837826551858,0.0
Telegraph Hill,3.7031025227755436,0.0
Twin Peaks,0.98813570008876517,0.0
Van Ness/Civic Center,1.9257972337429368,1.23179472114356
Visitacion Valley,-0.13550640025886929,0.0
West Portal,1.1943065218908084,0.0
Western Addition,1.7055240838735366,0.0
Westwood Highlands,0.4958314737327727,0.0
Westwood Park,0.72778462422096046,0.0
Sherwood Forest,0.23406419219530897,0.0
Tenderloin,2.4137279466693524,0.0
Central Waterfront/Dogpatch,1.7637928320879985,0.0
Candlestick Point,0.076849101005255105,0.0
Bayview Heights,-0.27524361718219564,0.0
Nob Hill,2.1695819051473655,0.0
